2026-08-28T10:00:05.5866114+03:00 healthy: crawler pid(s) 24600, manifest fresh
2026-08-28T15:00:03.6791627+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T15:10:03.5191921+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T15:20:03.1635758+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T15:30:11.9538591+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T15:40:09.4360125+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T15:50:09.2007175+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T16:00:07.2555907+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T16:10:07.1110624+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T16:20:09.0039369+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T16:30:04.3036394+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T16:40:03.0987836+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T16:50:01.8550492+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T17:00:06.0527808+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T17:10:05.2892214+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T17:20:02.8355227+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T17:30:08.0968975+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T17:40:01.8338067+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T17:50:02.3156459+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T18:00:02.6404876+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T18:10:03.5315321+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T18:20:03.4317702+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T18:30:02.7108358+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T18:40:01.9516926+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T18:50:01.9069584+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T19:00:03.8144595+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T19:10:04.4641916+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T19:20:02.0782640+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T19:30:02.3052319+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T19:40:02.6497119+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T19:50:02.3620977+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T20:00:02.1270491+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T20:10:02.4361470+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T20:20:03.6005812+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T20:30:02.3522282+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T20:40:04.6925881+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T20:50:33.7655403+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T21:00:06.4716024+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T21:10:03.0452025+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T21:20:07.5799454+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T21:30:07.8947853+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T21:40:05.6407555+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T21:50:09.4132576+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T22:00:15.8152657+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T22:10:03.1902548+03:00 healthy: crawler pid(s) 29324, manifest fresh
2026-08-28T22:13:50.9127888+03:00 restarting pass 1: done=37865/51663
2026-08-28T22:20:03.4083035+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-28T22:30:08.5470051+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-28T22:40:12.9483530+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-28T22:53:09.5801715+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-28T23:00:19.4771973+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-28T23:10:07.1702848+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-28T23:20:03.8725415+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-28T23:30:09.1119667+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-28T23:40:13.3106656+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-28T23:50:23.1686787+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T00:00:03.1989037+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T00:10:06.6825186+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T00:20:06.0290351+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T00:30:04.0865677+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T00:40:01.8417565+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T00:50:01.4739729+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T01:00:01.6706623+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T01:10:01.3051534+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T01:20:01.3708929+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T01:30:01.5868814+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T01:40:01.4136050+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T01:50:01.5686596+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T02:00:01.8854895+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T02:10:01.5280487+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T02:20:01.4284452+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T02:30:01.7392022+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T02:40:01.5689057+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T02:50:01.7930106+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T03:00:02.4990199+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T03:10:02.0943626+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T03:20:02.5761960+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T03:30:03.2576029+03:00 healthy: crawler pid(s) 17096, manifest fresh
2026-08-29T03:40:06.8298919+03:00 restarting pass 2 (ru): done=0/154989
2026-08-29T03:50:02.3885375+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T04:00:02.2807647+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T04:10:01.7257580+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T04:20:01.5746722+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T04:30:02.2073204+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T04:40:02.0359020+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T04:50:02.0029120+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T05:00:02.6990149+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T05:10:02.1107787+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T05:20:01.9250550+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T05:30:02.2237491+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T05:40:02.0857720+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T05:50:02.2961587+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T06:00:02.6900837+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T06:10:01.9281364+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T06:20:01.9040749+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T06:30:02.1269233+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T06:40:01.9949239+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T06:50:02.1872321+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T07:00:02.5176207+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T07:10:01.8828356+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T07:20:01.6998059+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T07:30:02.0525057+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T07:40:01.8118810+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T07:50:01.7816937+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T08:00:02.1015678+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T08:10:02.0075345+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T08:20:02.0524312+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T08:30:02.6651892+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T08:40:10.5951775+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T08:50:21.1304159+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T09:00:26.5174833+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T09:10:20.5488783+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T09:22:05.2496783+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T09:30:04.0107877+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T09:40:04.6171074+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T09:50:02.9789125+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T10:00:05.5005760+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T10:10:19.4230473+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T10:20:06.7582800+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T10:30:05.5862191+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T10:40:02.5120605+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T10:50:02.5086498+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T11:00:02.8473738+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T11:10:14.8031522+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T11:20:02.6493577+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T11:30:05.0622322+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T11:40:03.2324445+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T11:50:02.3610921+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T12:00:33.5392430+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T12:10:07.0770106+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T12:20:02.7932657+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T12:30:06.4954404+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T12:40:08.9068636+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T12:50:05.2678656+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T13:00:05.9729673+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T13:10:02.5409690+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T13:20:02.8406420+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T13:30:05.6031350+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T13:40:03.2077778+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T13:50:02.5291906+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T14:00:03.8722335+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T14:10:02.3994654+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T14:20:02.3756113+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T14:30:04.2264127+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T14:40:03.0305483+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T14:50:02.8511111+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T15:00:08.4400311+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T15:10:02.7742902+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T15:20:09.4146713+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T15:30:43.4567243+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T15:40:05.0055310+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T15:50:04.6352357+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T16:00:08.4818968+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T16:10:03.7139861+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T16:20:03.2004638+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T16:30:04.0329047+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T16:40:03.8014095+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T16:50:18.8438513+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T17:00:11.1011621+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T17:10:01.7766036+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T17:20:01.5273251+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T17:30:02.7088952+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T17:40:01.8392750+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T17:50:01.5395240+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T18:00:02.2750889+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T18:10:01.9141163+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T18:20:02.1563199+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T18:30:02.9816776+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T18:40:04.9330136+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T18:50:01.9122661+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T19:00:02.7382926+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T19:10:15.3510119+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T19:20:02.1602065+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T19:30:05.4354399+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T19:40:05.6258862+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T19:50:06.1996635+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T20:00:06.5291808+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T20:10:12.9933884+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T20:20:03.3493381+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T20:30:06.6572966+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T20:40:04.3937559+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T20:50:17.4957479+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T21:00:05.2683718+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T21:10:26.0288289+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T21:20:06.0980853+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T21:30:10.9959552+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T21:40:03.5713223+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T21:50:02.0926023+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T22:00:03.7133521+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T22:10:02.6409013+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T22:20:05.2466324+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T22:30:03.0156124+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T22:40:03.3582587+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T22:50:10.1247342+03:00 healthy: crawler pid(s) 36696, manifest fresh
2026-08-29T23:00:03.6390122+03:00 healthy: crawler pid(s) 36696, manifest fresh
