rule	category	global_count	global_pct	n_texts	top_texts	examples
m m → ṃ m	anusvāra / nasal	12302	2.12	16	Mahābhārata (full, incl. Bhagavadgītā)(8035), Rāmāyaṇa(2155), Kathāsaritsāgara(745)	dāne tapasi śaurye ca yasya na prathitaṃ manaḥ prathitaṃ+manaḥ · ekasmin divase rājño hastāt patitaṃ phalaṃ markaṭena vidāritam tanmadhyād ratnam ekaṃ bhūmau nipatitam tasya kāntyā mahān uddyoto jātaḥ sarve'pi lokāḥ savismayāḥ saṃjātāḥ phalaṃ+markaṭena · tatra raktāktahastaṃ yamapratibhaṃ māṃsavikrayaṃ vidadhānaṃ taṃ dṛṣṭvā dṛśāmantaḥsthitaḥ pratibham→yamapratibhaṃ +māṃsa · nāryastanvi haṭhāddharanti ramaṇaṃ tiṣṭhanti no vāritās tatkiṃ tāmyasi kiṃ ca rodiṣi mudhā tāsāṃ priyaṃ mā kṛthāḥ priyaṃ+mā
m n → ṃ n	anusvāra / nasal	10855	1.87	16	Mahābhārata (full, incl. Bhagavadgītā)(6731), Rāmāyaṇa(1695), Kathāsaritsāgara(717)	vācāṃ sarvatra vaicitryaṃ nītividyāṃ dadāti ca vaicitryaṃ+nīti · asti dakṣiṇāpathe janapade pratiṣṭhānaṃ nāma nagaram tatra vikramaseno nāma rājā pratiṣṭhānaṃ+nāma · asti candrapuraṃ nāma nagaram candrapuraṃ+nāma · manyurduḥsaha eṣa yātyupaśamaṃ no sāntvavādaiḥ sphuṭaṃ he nistraṃśa vimuktakaṇṭhakaruṇaṃ tāvatsakhī roditu upaśamam→yātyupaśamaṃ +no
m d → ṃ d	anusvāra / nasal	9659	1.66	16	Mahābhārata (full, incl. Bhagavadgītā)(6249), Rāmāyaṇa(1691), Kathāsaritsāgara(614)	vācāṃ sarvatra vaicitryaṃ nītividyāṃ dadāti ca vidyām→nītividyāṃ +dadāti · kasmiṃścid divase kuto 'pi sthānācchāntiśīlo nāma yogī digambaraḥ samāyātaḥ phalahastaḥ san sabhāṃ praviśya rājño haste phalaṃ dattavān phalaṃ+dattavān · praṇamya śāradāṃ devīṃ divyavijñānaśālinīm śāradāṃ+devīṃ · kopāt komalalolabāhulatikāpāśena baddhā dṛḍhaṃ nītvā keliniketanaṃ dayitayā sāyaṃ sakhīnāṃ puraḥ niketanam→keliniketanaṃ +dayitayā
a e → ai	vowel coalescence	8694	1.5	17	Mahābhārata (full, incl. Bhagavadgītā)(6205), Rāmāyaṇa(1161), Kathāsaritsāgara(669)	varaṃ garbhasrāvo varam api ca naivābhigamanaṃ varaṃ jātaḥ preto varam api ca kanyāvajanitā na+eva→naivābhigamanaṃ · aṇimā mahimā caiva laghimā garimā tathā ca+eva→caiva · athaikadā rahasi śuko madanaṃ prāha atha+ekadā→athaikadā · paśyaitad dayitākucavyatikaronmṛṣṭāṅgarāgāruṇaṃ vakṣaste malatailapaṅkaśabalair veṇīpadairaṅkitam paśya+etat→paśyaitad
ā a → ā	vowel coalescence	7786	1.34	17	Mahābhārata (full, incl. Bhagavadgītā)(4637), Kathāsaritsāgara(1047), Rāmāyaṇa(1040)	saṃyojayati vidyaiva nīcagāpi naraṃ sarit nīcagā+api→nīcagāpi · dvikarṇasya tu mantrasya brahmāpyantaṃ na gacchati brahmā+api→brahmāpyantaṃ · sa ca tapasvī krodhākulitanetraḥ yāvadūrdhvaṃ paśyati tāvattatkrodhāgninā bhasmībhūtāṃ balākāṃ bhūmau patitāṃ dṛṣṭvā balākāṃ dagdhvā nārāyaṇadvijagṛhe bhikṣārthaṃ yayau bhikṣā+artham→bhikṣārthaṃ · hṛdayanihitaṃ bhāvākūtaṃ vamadbhirivekṣaṇaiḥ kathaya sukṛtī ko 'yaṃ mugdhe tvayādya vilokyate tvayā+adya→tvayādya
a u → o	vowel coalescence	7777	1.34	17	Mahābhārata (full, incl. Bhagavadgītā)(4524), Rāmāyaṇa(1386), Kathāsaritsāgara(586)	śruto hitopadeśo 'yaṃ pāṭavaṃ saṃskṛtoktiṣu saṃskṛta+uktiṣu→saṃskṛtoktiṣu · tadā digambareṇoktam mahārāja śrūyatām śāstre kathitam asti digambareṇa+uktam→digambareṇoktam · tasminkāle kayācit balākayā uḍḍīyamānayā tadaṅgopari purīṣotsargaḥ kṛtaḥ purīṣa+utsargaḥ→purīṣotsargaḥ · dhīraṃ vāridharasya vāri kirataḥ śrutvā niśīthe dhvaniṃ dīrghocchvāsamudaśruṇā virahiṇīṃ bālāṃ ciraṃ dhyāyatā dīrgha+ucchvāsam→dīrghocchvāsamudaśruṇā
m ś → ṃ ś	anusvāra / nasal	7590	1.31	17	Mahābhārata (full, incl. Bhagavadgītā)(4909), Rāmāyaṇa(1398), Bhāratamañjarī(462)	sa bhūpatir ekadā kenāpi pāṭhyamānaṃ ślokadvayaṃ śuśrāva pāṭhyamānaṃ+śloka · tasya tad vacanaṃ śrutvā rājñā bhāṇḍāgārika ākāritaḥ vacanaṃ+śrutvā · taṃ haridattaṃ kuputraduḥkhena pīḍitaṃ dṛṣṭvā tasya sakhā trivikramanāmā dvijaḥ svagṛhato nītinipuṇaṃ śukaṃ sārikāṃ ca gṛhītvā tadgṛhe gatvā prāha sakhe haridatta enaṃ śukaṃ sapatnīkaṃ putravattvaṃ paripālaya enaṃ+śukaṃ · āliṅgan yo 'vadhūtas tripurayuvatibhiḥ sāśrunetrotpalābhiḥ kāmīvārdrāparādhaḥ sa dahatu duritaṃ śāmbhavo vaḥ śarāgniḥ duritaṃ+śāmbhavo
aḥ v → o v	visarga	7564	1.3	16	Mahābhārata (full, incl. Bhagavadgītā)(5088), Rāmāyaṇa(1248), Kathāsaritsāgara(373)	ajarāmaravat prājño vidyāmarthaṃ ca cintayet prājño+vidyām · sūryakoṭisamābhāso vidyujjyotiḥsamaprabhaḥ ābhāsaḥ→sūryakoṭisamābhāso +vidyut · sa ca pracchannapātakajñānādbhīto vismitaśca preṣitaśca tayā dharmavyādhapārśva vārāṇasīṃ nagarīṃ yayau bhītaḥ→pracchannapātakajñānādbhīto +vismitaḥ · āliṅgan yo 'vadhūtas tripurayuvatibhiḥ sāśrunetrotpalābhiḥ kāmīvārdrāparādhaḥ sa dahatu duritaṃ śāmbhavo vaḥ śarāgniḥ śāmbhavo+vaḥ
aḥ m → o m	visarga	7152	1.23	16	Mahābhārata (full, incl. Bhagavadgītā)(4936), Rāmāyaṇa(1151), Kathāsaritsāgara(366)	asti kaścid evambhūto vidvān yo mama putrāṇāṃ nityam unmārgagāminām anadhigataśāstrāṇām idānīṃ nītiśāstropadeśena punar janma kārayituṃ samarthaḥ yataḥ yo+mama · yasmād adhīro mantrasya siddhasyāpi vināśakaḥ adhīro+mantrasya · tatputro madanavinodanāmā babhūva putraḥ→tatputro +madanavinoda · dampatyoḥ śanakairapāṅgavalanān miśrībhavaccakṣuṣor bhagno mānakaliḥ sahāsarabhasaṃ vyāsaktakaṇṭhagraham bhagno+mānakaliḥ
m y → ṃ y	anusvāra / nasal	7054	1.22	16	Mahābhārata (full, incl. Bhagavadgītā)(4988), Rāmāyaṇa(880), Kathāsaritsāgara(371)	sarvasya locanaṃ śāstraṃ yasya nāsty andha eva saḥ śāstraṃ+yasya · api svalpataraṃ kāryaṃ yadi syāt pṛthivīpateḥ kāryaṃ+yadi · sa ca tapasvī krodhākulitanetraḥ yāvadūrdhvaṃ paśyati tāvattatkrodhāgninā bhasmībhūtāṃ balākāṃ bhūmau patitāṃ dṛṣṭvā balākāṃ dagdhvā nārāyaṇadvijagṛhe bhikṣārthaṃ yayau artham→bhikṣārthaṃ +yayau · dampatyorniśi jalpatorgṛhaśukenākarṇitaṃ yadvacas tatprātargurusaṃnidhau nigadatastasyopahāraṃ vadhūḥ ākarṇitam→jalpatorgṛhaśukenākarṇitaṃ +yat
i a → y a	vowel coalescence	6679	1.15	17	Mahābhārata (full, incl. Bhagavadgītā)(4455), Rāmāyaṇa(916), Kathāsaritsāgara(498)	sarvasya locanaṃ śāstraṃ yasya nāsty andha eva saḥ asti→nāsty +andha · rājño vacanaṃ śrutvā tenānītāni pratyekam utkṛṣya dṛṣṭāni sarvāṇy api ratnaiḥ pūrṇāni rājā ca hṛṣṭamanāḥ saṃjātaḥ sarvāṇy+api · sā āha suhṛdāṃ sādhvasādhvapi śrotavyameva ityanujñātaḥ śukaḥ āha asti nandanaṃ nāma nagaram iti+anujñātaḥ→ityanujñātaḥ · ityanyonyavilakṣadṛṣṭicature tasminnavasthāntare savyājaṃ hasitaṃ mayā dhṛtiharo bāṣpastu muktastayā iti+anyonya→ityanyonyavilakṣadṛṣṭicature
aḥ a → o '	visarga	6657	1.15	16	Mahābhārata (full, incl. Bhagavadgītā)(4107), Kathāsaritsāgara(854), Rāmāyaṇa(807)	ko 'rthaḥ putreṇa jātena yo na vidvān na dhārmikaḥ ko+'rthaḥ · so 'pi rājānaṃ dṛṣṭvā hṛṣṭaromā saṃjātaḥ so+'pi · atha śukaḥ sā yaśodevī ekāṃ śunīṃ bhojanādyairāvarjayitvā ābharaṇāni paridhāyātmanā sārdhaṃ gṛhītvā śaśiprabhāpārśve gatvā tāṃ vijane sagadgadā jagādāhaṃ ca tvaṃ ca iyaṃ ca pūrvabhave bhaginyo 'bhūvan bhaginyo+'bhūvan · asaṅgo 'si nirākāro viśvasākṣī sukhī bhava asaṅgo+'si
aḥ n → o n	visarga	6182	1.07	16	Mahābhārata (full, incl. Bhagavadgītā)(4058), Rāmāyaṇa(840), Bhāratamañjarī(358)	yan nave bhājane lagnaḥ saṃskāro nānyathā bhavet saṃskāro+na · asti dakṣiṇāpathe janapade pratiṣṭhānaṃ nāma nagaram tatra vikramaseno nāma rājā vikramaseno+nāma · tatra vikramaseno nāma rājā babhūva vikramaseno+nāma · kṣipto hastāvalagnaḥ prasabham abhihato 'py ādadāno 'ṃśukāntaṃ gṛhṇan keśeṣvapāstaścaraṇanipatito nekṣitaḥ sambhrameṇa nipatitaḥ→keśeṣvapāstaścaraṇanipatito +na
m bh → ṃ bh	anusvāra / nasal	6074	1.05	16	Mahābhārata (full, incl. Bhagavadgītā)(4135), Rāmāyaṇa(925), Bhāratamañjarī(320)	samudram iva durdharṣaṃ nṛpaṃ bhāgyam ataḥ param nṛpaṃ+bhāgyam · ekasmin divase rājño hastāt patitaṃ phalaṃ markaṭena vidāritam tanmadhyād ratnam ekaṃ bhūmau nipatitam tasya kāntyā mahān uddyoto jātaḥ sarve'pi lokāḥ savismayāḥ saṃjātāḥ ekaṃ+bhūmau · sa ca tapasvī krodhākulitanetraḥ yāvadūrdhvaṃ paśyati tāvattatkrodhāgninā bhasmībhūtāṃ balākāṃ bhūmau patitāṃ dṛṣṭvā balākāṃ dagdhvā nārāyaṇadvijagṛhe bhikṣārthaṃ yayau balākāṃ+bhūmau · hṛdayanihitaṃ bhāvākūtaṃ vamadbhirivekṣaṇaiḥ kathaya sukṛtī ko 'yaṃ mugdhe tvayādya vilokyate nihitam→hṛdayanihitaṃ +bhāvākūtaṃ
m r → ṃ r	anusvāra / nasal	6044	1.04	16	Mahābhārata (full, incl. Bhagavadgītā)(3409), Rāmāyaṇa(1700), Kathāsaritsāgara(380)	atha prāsādapṛṣṭhe sukhopaviṣṭānāṃ rājaputrāṇāṃ purastāt prastāvakrameṇa paṇḍito 'bravīt upaviṣṭānām→sukhopaviṣṭānāṃ +rāja · kecit kathāṃ rasasphītām ataḥ sarvaṃ vidhīyate kathāṃ+rasa · tatra sudhano nāma mohanaśreṣṭhisutaḥ tannagaravāsino haridattasya kalatraṃ lakṣmīṃ rantumīhate lakṣmīṃ+rantum · tanvyā yat suratāntatāntanayanaṃ vaktraṃ rativyatyaye tattvāṃ pātu cirāya kiṃ hariharabrahmādibhirdaivataiḥ vaktraṃ+rati
ḥ a → r a	visarga	5516	0.95	16	Mahābhārata (full, incl. Bhagavadgītā)(3722), Rāmāyaṇa(778), Kathāsaritsāgara(206)	sarvadravyeṣu vidyaiva dravyam āhur anuttamam āhur+anuttamam · vighnaiḥ sahasraguṇitair api hanyamānāḥ guṇitaiḥ→sahasraguṇitair +api · tataḥ kṣaṇaṃ sthitvā sveṣṭadevatāṃ hṛdi smṛtvā tāmbūlaṃ pragṛhya yāvaccalitā tāvat śukaḥ prāha siddhirastu siddhiḥ+astu→siddhirastu · ekasmiñśayane parāṅmukhatayā vītottaraṃ tāmyator anyonyasya hṛdi sthite'pyanunaye saṃrakṣatorgauravam tāmyator+anyonyasya
a i → e	vowel coalescence	5375	0.93	16	Mahābhārata (full, incl. Bhagavadgītā)(3438), Rāmāyaṇa(1063), Bhāratamañjarī(290)	ajāgalastanasyeva tasya janma nirarthakam ajāgalastanasya+iva→ajāgalastanasyeva · eṣa rājñāṃ paro dharmaḥ paratreha ca śarmaṇe paratra+iha→paratreha · tatastāsāṃ vacanena puruṣāntarasya guṇacandrasaṃjñasya ramaṇāya śṛṅgāraṃ vidhāya yāvatpracalitā tāvatsārikayā mā gacchetyādivacanairnirbhartsitā gaccha+iti→gacchetyādivacanairnirbhartsitā · datto'syāḥ praṇayastvayaiva bhavatā ceyaṃ ciraṃ lālitā daivād adya kila tvameva kṛtavān asyā navaṃ vipriyam ca+iyam→ceyaṃ
t a → d a	consonant / other	5347	0.92	17	Mahābhārata (full, incl. Bhagavadgītā)(3517), Rāmāyaṇa(616), Kathāsaritsāgara(377)	ahāryatvād anarghatvād akṣayatvāc ca sarvadā ahāryatvād+anargha · yasmād adhīro mantrasya siddhasyāpi vināśakaḥ yasmād+adhīro · yato bālakādapi hitaṃ vākyaṃ grāhyam bālakāt+api→bālakādapi · datto'syāḥ praṇayastvayaiva bhavatā ceyaṃ ciraṃ lālitā daivād adya kila tvameva kṛtavān asyā navaṃ vipriyam daivād+adya
ḥ u → Ø u	visarga	5068	0.87	11	Mahābhārata (full, incl. Bhagavadgītā)(4919), Hitopadeśa(43), Rāmāyaṇa(33)	vyāghra uvāca śṛṇu re pāntha prāg eva yauvanadaśāyām aham atīva durvṛtta āsam vyāghra+uvāca · śuka uvāca yuktamidaṃ kartavyameva paraṃ duṣkaraṃ ninditaṃ ca kulastrīṇām śuka+uvāca · janaka uvāca janaka+uvāca · kva sa varṣa upādhyāyo bhaved iti divāniśam varṣa+upādhyāyo
m g → ṃ g	anusvāra / nasal	4868	0.84	16	Mahābhārata (full, incl. Bhagavadgītā)(3035), Rāmāyaṇa(828), Kathāsaritsāgara(312)	varaṃ garbhasrāvo varam api ca naivābhigamanaṃ varaṃ jātaḥ preto varam api ca kanyāvajanitā varaṃ+garbhasrāvo · praṇamya śirasā devaṃ gaṇanāthaṃ vināyakam devaṃ+gaṇanāthaṃ · haridattastu taṃ śukaṃ gṛhītvā putrāya samarpayāmāsa śukaṃ+gṛhītvā · kṣipto hastāvalagnaḥ prasabham abhihato 'py ādadāno 'ṃśukāntaṃ gṛhṇan keśeṣvapāstaścaraṇanipatito nekṣitaḥ sambhrameṇa antam→'ṃśukāntaṃ +gṛhṇan
aḥ a → o a	visarga	4551	0.78	15	Mahābhārata (full, incl. Bhagavadgītā)(2319), Kathāsaritsāgara(729), Bhāratamañjarī(613)	varaṃ vandhyā bhāryā varam api ca garbheṣu vasatir na vāvidvān rūpadraviṇaguṇayukto 'pi tanayaḥ yuktaḥ→rūpadraviṇaguṇayukto +'pi · sā tathaiva samaṃ tābhirdvitīyo 'hni niśāmukhe dvitīyaḥ→tābhirdvitīyo +'hni · jyākṛṣṭibaddhakhaṭakāmukhapāṇipṛṣṭhapreṅkhannakhāṃśucayasaṃvalito 'mbikāyāḥ saṃvalitaḥ→jyākṛṣṭibaddhakhaṭakāmukhapāṇipṛṣṭhapreṅkhannakhāṃśucayasaṃvalito +'mbikāyāḥ · eko draṣṭāsi sarvasya muktaprāyo 'si sarvadā prāyaḥ→muktaprāyo +'si
m h → ṃ h	anusvāra / nasal	4345	0.75	15	Mahābhārata (full, incl. Bhagavadgītā)(2823), Rāmāyaṇa(831), Kathāsaritsāgara(265)	nagnatvaṃ nīlakaṇṭhasya mahāhiśayanaṃ hareḥ śayanam→mahāhiśayanaṃ +hareḥ · taṃ haridattaṃ kuputraduḥkhena pīḍitaṃ dṛṣṭvā tasya sakhā trivikramanāmā dvijaḥ svagṛhato nītinipuṇaṃ śukaṃ sārikāṃ ca gṛhītvā tadgṛhe gatvā prāha sakhe haridatta enaṃ śukaṃ sapatnīkaṃ putravattvaṃ paripālaya taṃ+haridattaṃ · tanvyā yat suratāntatāntanayanaṃ vaktraṃ rativyatyaye tattvāṃ pātu cirāya kiṃ hariharabrahmādibhirdaivataiḥ kiṃ+hari · nāham deho na me deho jīvo nāham ahaṃ hi cit ahaṃ+hi
aḥ r → o r	visarga	4066	0.7	16	Mahābhārata (full, incl. Bhagavadgītā)(2622), Rāmāyaṇa(939), Bhāratamañjarī(184)	sampadi yasya na harṣo vipadi viṣādo raṇe ca bhīrutvam viṣādo+raṇe · kīdṛśo rājā kīdṛśo+rājā · tatputro rājaśekharaḥ putraḥ→tatputro +rājaśekharaḥ · sphuṭo rekhānyāsaḥ kathamapi sa tādṛk pariṇato gatā yena vyaktaṃ punaravayavaiḥ saiva taruṇī sphuṭo+rekhā
aḥ d → o d	visarga	4064	0.7	15	Mahābhārata (full, incl. Bhagavadgītā)(2868), Rāmāyaṇa(569), Bhāratamañjarī(217)	tadupadeśādidānīm ahaṃ snānaśīlo dātā vṛddho galitanakhadantaḥ na kathaṃ viśvāsabhūmiḥ śīlaḥ→snānaśīlo +dātā · evamuktaḥ sa madanaḥ pitarau namaskṛtya tadanujñāto bhāryāṃ cāpṛcchya pravahaṇam adhirūḍhavān gato deśāntaram gato+deśa · sā yāvanti padānyalīkavacanairālījanaiḥ śikṣitā tāvantyeva kṛtāgaso drutataraṃ vyāhṛtya patyuḥ puraḥ āgasaḥ→kṛtāgaso +drutataraṃ · eko draṣṭāsi sarvasya muktaprāyo 'si sarvadā eko+draṣṭāsi
ḥ v → r v	visarga	4044	0.7	15	Mahābhārata (full, incl. Bhagavadgītā)(2728), Rāmāyaṇa(777), Bhāratamañjarī(150)	yaśasi cābhirucir vyasanaṃ śrutau prakṛtisiddham idaṃ hi mahātmanām abhiruciḥ→cābhirucir +vyasanaṃ · ambhonidhirvahati duḥsahavāḍavāgnimaṅgīkṛtaṃ sukṛtinaḥ paripālayanti ambhonidhiḥ+vahati→ambhonidhirvahati · paśyaitad dayitākucavyatikaronmṛṣṭāṅgarāgāruṇaṃ vakṣaste malatailapaṅkaśabalair veṇīpadairaṅkitam śabalaiḥ→malatailapaṅkaśabalair +veṇī · aho bhuvanakallolair vicitrair drāk samutthitam kallolaiḥ→bhuvanakallolair +vicitrair
ḥ v → Ø v	visarga	4011	0.69	15	Mahābhārata (full, incl. Bhagavadgītā)(2763), Rāmāyaṇa(729), Bhāratamañjarī(164)	udyoginaṃ puruṣasiṃham upaiti lakṣmīr daivena deyam iti kāpuruṣā vadanti kāpuruṣā+vadanti · ārabhya vighnavihitā viramanti madhyāḥ vihitāḥ→vighnavihitā +viramanti · kautukānveṣiṇo nityaṃ durjanā vyasanāgame durjanā+vyasana · āyātā vayamāgamiṣyati suhṛdvargasya bhāgyodayaiḥ saṃdeśo vada kastavābhilaṣitastīrtheṣu toyāñjaliḥ āyātā+vayam
