slp1	freq_band	poly_band	arm	chrf_mw	chrf_fr	chrf_multi	token_f1_mw	token_f1_fr
dAnava	high	poly2_4	A0_random_floor	10.94	2.53	10.94	0.1714	0.0000
fzi	high	poly2_4	A0_random_floor	6.22	3.33	6.22	0.0730	0.0000
upadiS	high	poly2_4	A0_random_floor	9.77	6.84	9.77	0.0702	0.0588
rAjya	high	poly2_4	A0_random_floor	13.22	6.07	13.22	0.1304	0.0000
idam	high	poly2_4	A0_random_floor	21.50	1.22	21.50	0.2312	0.0000
Ap	high	poly2_4	A0_random_floor	6.18	5.23	6.18	0.0748	0.0000
yadA	high	poly2_4	A0_random_floor	2.00	3.25	3.25	0.0842	0.0000
samiD	high	poly2_4	A0_random_floor	7.00	8.92	8.92	0.0435	0.0000
vidyA	high	poly2_4	A0_random_floor	2.19	3.61	3.61	0.0345	0.0000
aBiBU	high	poly2_4	A0_random_floor	12.71	11.03	12.71	0.0000	0.0000
prasTA	high	poly2_4	A0_random_floor	29.70	16.48	29.70	0.3426	0.0000
Slezman	high	poly2_4	A0_random_floor	16.27	11.83	16.27	0.0769	0.0476
Uru	high	poly2_4	A0_random_floor	6.45	10.64	10.64	0.0000	0.0000
saMyuga	high	poly2_4	A0_random_floor	11.32	12.37	12.37	0.0472	0.0000
ftu	high	poly2_4	A0_random_floor	2.50	2.18	2.50	0.0345	0.0000
yaTAvat	high	poly2_4	A0_random_floor	11.17	9.75	11.17	0.0215	0.0000
stu	high	poly2_4	A0_random_floor	28.63	12.27	28.63	0.4481	0.0127
kzuD	high	poly2_4	A0_random_floor	13.14	9.10	13.14	0.0000	0.0000
an	high	poly2_4	A0_random_floor	5.62	5.42	5.62	0.1600	0.0000
apriya	high	poly2_4	A0_random_floor	4.86	4.35	4.86	0.1429	0.1111
dehin	high	poly2_4	A0_random_floor	2.13	1.48	2.13	0.0000	0.0000
loBa	high	poly2_4	A0_random_floor	5.74	3.09	5.74	0.1538	0.0000
dvipa	high	poly2_4	A0_random_floor	23.03	12.74	23.03	0.1818	0.0000
nakzatra	high	poly2_4	A0_random_floor	1.06	0.59	1.06	0.0189	0.0000
jAnu	high	poly2_4	A0_random_floor	0.72	1.48	1.48	0.0000	0.0000
kAsa	high	poly2_4	A0_random_floor	14.75	3.62	14.75	0.1053	0.0000
rAkzasa	high	poly2_4	A0_random_floor	3.41	3.44	3.44	0.1460	0.0299
druma	high	poly2_4	A0_random_floor	19.67	10.49	19.67	0.1515	0.0000
pitf	high	poly2_4	A0_random_floor	16.92	17.19	17.19	0.2156	0.0000
yuD	high	poly2_4	A0_random_floor	30.37	14.36	30.37	0.3828	0.0120
havis	high	poly2_4	A0_random_floor	20.97	11.85	20.97	0.1007	0.0000
tfp	high	poly2_4	A0_random_floor	3.17	4.31	4.31	0.0260	0.0000
vaRij	high	poly2_4	A0_random_floor	11.18	8.02	11.18	0.0000	0.0000
nizad	high	poly2_4	A0_random_floor	1.43	2.55	2.55	0.0299	0.0000
mahABAga	high	poly2_4	A0_random_floor	24.91	14.07	24.91	0.2921	0.0303
dveza	high	poly2_4	A0_random_floor	10.47	5.91	10.47	0.0000	0.0000
Avaha	high	poly2_4	A0_random_floor	21.55	14.65	21.55	0.2022	0.0194
Apat	high	poly2_4	A0_random_floor	9.02	10.50	10.50	0.1067	0.0000
niBa	high	poly2_4	A0_random_floor	18.81	9.28	18.81	0.0899	0.0000
uB	high	poly2_4	A0_random_floor	11.89	1.98	11.89	0.0800	0.0000
lih	high	poly2_4	A0_random_floor	9.69	5.94	9.69	0.0308	0.0000
kAnana	high	poly2_4	A0_random_floor	16.53	11.03	16.53	0.0690	0.0000
tulya	high	poly2_4	A0_random_floor	1.75	2.06	2.06	0.0588	0.0625
antar	high	poly2_4	A0_random_floor	7.67	5.85	7.67	0.0938	0.0000
manuzya	high	poly5p	A0_random_floor	16.17	11.05	16.17	0.1905	0.0426
giri	high	poly5p	A0_random_floor	7.12	12.27	12.27	0.1509	0.0000
brAhmaRa	high	poly5p	A0_random_floor	4.85	5.28	5.28	0.0462	0.0471
Adya	high	poly5p	A0_random_floor	10.12	13.45	13.45	0.1613	0.0465
Agneya	high	poly5p	A0_random_floor	5.32	3.23	5.32	0.1923	0.0299
SarkarA	high	poly5p	A0_random_floor	4.64	4.31	4.64	0.0000	0.0000
gamBIra	high	poly5p	A0_random_floor	7.93	8.23	8.23	0.0500	0.0465
mahAdeva	high	poly5p	A0_random_floor	13.92	8.96	13.92	0.1159	0.0000
SAsana	high	poly5p	A0_random_floor	20.89	18.73	20.89	0.2811	0.0510
vipra	high	poly5p	A0_random_floor	15.22	12.37	15.22	0.1096	0.0288
udyAna	high	poly5p	A0_random_floor	17.05	7.47	17.05	0.1053	0.0000
miSra	high	poly5p	A0_random_floor	21.52	14.20	21.52	0.1808	0.0256
prakfti	high	poly5p	A0_random_floor	2.31	1.14	2.31	0.0708	0.0000
aSva	high	poly5p	A0_random_floor	27.88	12.00	27.88	0.3836	0.0000
retas	high	poly5p	A0_random_floor	13.28	17.35	17.35	0.2090	0.0000
ekAnta	high	poly5p	A0_random_floor	4.10	5.77	5.77	0.0000	0.0000
SoDana	high	poly5p	A0_random_floor	2.88	5.54	5.54	0.0345	0.0000
Akula	high	poly5p	A0_random_floor	8.48	8.28	8.48	0.0588	0.0000
karza	high	poly5p	A0_random_floor	21.27	16.23	21.27	0.1604	0.0408
raTa	high	poly5p	A0_random_floor	12.12	9.01	12.12	0.1481	0.0536
anIka	high	poly5p	A0_random_floor	17.79	13.82	17.79	0.0000	0.0000
duHKa	high	poly5p	A0_random_floor	14.00	10.71	14.00	0.1053	0.0381
raTin	high	poly5p	A0_random_floor	6.24	6.26	6.26	0.0370	0.0000
vastu	high	poly5p	A0_random_floor	2.25	3.22	3.22	0.0476	0.0392
gocara	high	poly5p	A0_random_floor	4.11	2.56	4.11	0.0526	0.0000
Brama	high	poly5p	A0_random_floor	4.43	6.23	6.23	0.1231	0.0741
maya	high	poly5p	A0_random_floor	25.05	3.68	25.05	0.2138	0.0000
prayatna	high	poly5p	A0_random_floor	13.06	15.29	15.29	0.1165	0.0000
sAkzAt	high	poly5p	A0_random_floor	17.34	10.57	17.34	0.2000	0.0000
vEra	high	poly5p	A0_random_floor	21.83	14.11	21.83	0.1519	0.0645
BArgava	high	poly5p	A0_random_floor	4.33	5.65	5.65	0.0354	0.0270
paScAt	high	poly5p	A0_random_floor	6.96	6.62	6.96	0.1132	0.0000
BUmi	high	poly5p	A0_random_floor	1.66	1.81	1.81	0.0000	0.0000
parvata	high	poly5p	A0_random_floor	9.34	15.15	15.15	0.1379	0.0000
cit	high	poly5p	A0_random_floor	0.00	0.00	0.00	0.0000	0.0000
muhur	high	poly5p	A0_random_floor	17.27	13.64	17.27	0.2195	0.0000
namas	high	poly5p	A0_random_floor	4.87	1.63	4.87	0.0000	0.0000
droRa	high	poly5p	A0_random_floor	0.94	0.24	0.94	0.0000	0.0000
Sreyas	high	poly5p	A0_random_floor	5.70	9.76	9.76	0.0168	0.0000
jana	high	poly5p	A0_random_floor	4.56	6.57	6.57	0.0625	0.0370
pUrva	high	poly5p	A0_random_floor	28.41	18.09	28.41	0.2336	0.0000
kara	high	poly5p	A0_random_floor	20.95	16.68	20.95	0.1589	0.0167
kArmuka	high	poly5p	A0_random_floor	23.75	10.62	23.75	0.0893	0.0000
aMSa	high	poly5p	A0_random_floor	23.09	14.87	23.09	0.2178	0.0155
amBas	high	poly5p	A0_random_floor	8.31	6.70	8.31	0.1852	0.0000
Pala	high	poly5p	A0_random_floor	24.79	13.75	24.79	0.1695	0.0000
laGu	high	poly5p	A0_random_floor	18.53	16.55	18.53	0.1630	0.0000
Suc	high	poly5p	A0_random_floor	5.01	5.52	5.52	0.0593	0.0000
yA	high	poly5p	A0_random_floor	20.90	10.96	20.90	0.1564	0.0139
nirvinDyA	low	mono	A0_random_floor	13.33	10.69	13.33	0.0909	0.0000
kulavaDU	low	mono	A0_random_floor	14.76	11.88	14.76	0.0000	0.0000
tAwaNka	low	mono	A0_random_floor	12.16	15.10	15.10	0.1143	0.0000
udyogin	low	mono	A0_random_floor	13.55	7.49	13.55	0.0000	0.1250
anAdeya	low	mono	A0_random_floor	15.20	11.70	15.20	0.0000	0.0800
atinidra	low	mono	A0_random_floor	13.92	9.89	13.92	0.1176	0.0000
Odanika	low	mono	A0_random_floor	5.81	9.55	9.55	0.0168	0.0800
daSakaRWa	low	mono	A0_random_floor	5.17	10.05	10.05	0.0000	0.0000
milana	low	mono	A0_random_floor	17.18	9.47	17.18	0.0000	0.0000
Asannatara	low	mono	A0_random_floor	1.58	6.99	6.99	0.0000	0.0149
maRqalita	low	mono	A0_random_floor	9.34	14.42	14.42	0.0308	0.0513
nivah	low	mono	A0_random_floor	20.82	15.01	20.82	0.2090	0.0000
taRqu	low	mono	A0_random_floor	19.17	13.43	19.17	0.0488	0.0000
akzapawala	low	poly2_4	A0_random_floor	13.22	13.72	13.72	0.0889	0.0000
vratati	low	poly2_4	A0_random_floor	8.06	7.65	8.06	0.1429	0.0000
saMvAhaka	low	poly2_4	A0_random_floor	0.00	0.00	0.00	0.0000	0.0000
rasada	low	poly2_4	A0_random_floor	14.93	11.52	14.93	0.1600	0.0606
apakfzwa	low	poly2_4	A0_random_floor	16.44	9.51	16.44	0.0488	0.0571
aviBinna	low	poly2_4	A0_random_floor	12.57	9.85	12.57	0.0000	0.0000
pariBUti	low	poly2_4	A0_random_floor	16.38	10.69	16.38	0.0000	0.0000
sUtraDAra	low	poly2_4	A0_random_floor	17.74	14.49	17.74	0.2169	0.0000
kAdambinI	low	poly2_4	A0_random_floor	8.58	8.31	8.58	0.1053	0.0000
yaTAvakASam	low	poly2_4	A0_random_floor	16.41	13.26	16.41	0.1622	0.0000
rukmANgada	low	poly2_4	A0_random_floor	14.75	13.86	14.75	0.0833	0.0235
cawu	low	poly2_4	A0_random_floor	17.46	13.72	17.46	0.2162	0.0000
vipariRAma	low	poly2_4	A0_random_floor	14.77	13.03	14.77	0.1429	0.0000
ANgika	low	poly2_4	A0_random_floor	23.38	11.50	23.38	0.2133	0.0286
BUmigfha	low	poly2_4	A0_random_floor	16.63	16.09	16.63	0.0435	0.1176
kawAgni	low	poly2_4	A0_random_floor	4.07	4.58	4.58	0.0000	0.0000
nuti	low	poly2_4	A0_random_floor	11.48	8.60	11.48	0.0000	0.0000
rAjanyaka	low	poly2_4	A0_random_floor	8.48	11.92	11.92	0.0500	0.0153
alika	low	poly2_4	A0_random_floor	4.38	3.22	4.38	0.0317	0.0000
SataBizaj	low	poly2_4	A0_random_floor	9.72	8.49	9.72	0.1875	0.0385
upanipAta	low	poly2_4	A0_random_floor	12.72	9.72	12.72	0.1364	0.0000
buButsA	low	poly2_4	A0_random_floor	7.68	6.69	7.68	0.0488	0.0000
sAratA	low	poly5p	A0_random_floor	14.54	4.48	14.54	0.0513	0.0000
qimBa	low	poly5p	A0_random_floor	12.08	1.16	12.08	0.0208	0.0000
atyAhita	low	poly5p	A0_random_floor	18.46	11.93	18.46	0.0588	0.0000
GfRi	low	poly5p	A0_random_floor	14.76	6.15	14.76	0.0816	0.0000
puroBAga	low	poly5p	A0_random_floor	5.75	2.76	5.75	0.0606	0.0000
maYjula	low	poly5p	A0_random_floor	18.78	12.24	18.78	0.1935	0.0417
kuwIra	low	poly5p	A0_random_floor	12.64	3.47	12.64	0.0909	0.0000
sApatnya	low	poly5p	A0_random_floor	13.91	10.53	13.91	0.1471	0.0317
kfkaRa	low	poly5p	A0_random_floor	12.44	6.82	12.44	0.1029	0.0155
jawADara	low	poly5p	A0_random_floor	15.33	12.82	15.33	0.1579	0.0256
Aropa	low	poly5p	A0_random_floor	13.39	12.36	13.39	0.1905	0.0000
avaguRWana	low	poly5p	A0_random_floor	10.27	14.99	14.99	0.2286	0.0952
samantaBadra	low	poly5p	A0_random_floor	17.30	8.37	17.30	0.1967	0.0000
AlIQa	low	poly5p	A0_random_floor	18.93	15.06	18.93	0.1481	0.0328
kalinda	low	poly5p	A0_random_floor	17.06	11.88	17.06	0.1538	0.0000
rasita	low	poly5p	A0_random_floor	15.35	10.52	15.35	0.0678	0.0370
bAhula	low	poly5p	A0_random_floor	15.34	10.25	15.34	0.1455	0.0000
SAsa	low	poly5p	A0_random_floor	16.38	11.48	16.38	0.1034	0.0000
arAla	low	poly5p	A0_random_floor	18.59	15.24	18.59	0.1301	0.0174
kzurikA	low	poly5p	A0_random_floor	8.39	4.13	8.39	0.2105	0.0000
mAWara	low	poly5p	A0_random_floor	12.10	14.30	14.30	0.1587	0.0000
upodGAta	low	poly5p	A0_random_floor	18.82	16.55	18.82	0.1176	0.0000
cumbin	low	poly5p	A0_random_floor	13.11	6.57	13.11	0.0552	0.0137
vivasvat	low	poly5p	A0_random_floor	3.94	6.71	6.71	0.0423	0.0351
sPurita	low	poly5p	A0_random_floor	10.26	13.15	13.15	0.1266	0.0769
gaRya	low	poly5p	A0_random_floor	16.87	13.40	16.87	0.0800	0.0000
stamB	mid	mono	A0_random_floor	5.84	7.14	7.14	0.0536	0.0000
aBIz	mid	mono	A0_random_floor	11.60	11.14	11.60	0.0000	0.0000
paravaSa	mid	mono	A0_random_floor	3.35	1.64	3.35	0.0000	0.0000
azwacatvAriMSat	mid	mono	A0_random_floor	0.00	3.39	3.39	0.0000	0.0000
janayitf	mid	mono	A0_random_floor	15.16	5.96	15.16	0.0800	0.0000
indranIla	mid	mono	A0_random_floor	5.59	12.01	12.01	0.0426	0.0000
pakkaRa	mid	mono	A0_random_floor	15.00	12.64	15.00	0.2500	0.0000
aBiBAzin	mid	mono	A0_random_floor	12.04	7.54	12.04	0.0000	0.0000
indraDanus	mid	mono	A0_random_floor	10.00	9.77	10.00	0.0800	0.0000
pariSram	mid	mono	A0_random_floor	17.69	11.70	17.69	0.1224	0.0000
dvitra	mid	mono	A0_random_floor	4.58	8.39	8.39	0.0714	0.0571
varzavara	mid	mono	A0_random_floor	14.61	5.94	14.61	0.1778	0.0000
prabAD	mid	mono	A0_random_floor	9.57	7.96	9.57	0.0541	0.0000
pradfS	mid	mono	A0_random_floor	17.68	14.66	17.68	0.0526	0.0000
upajIv	mid	mono	A0_random_floor	14.88	12.61	14.88	0.1818	0.0000
anvezin	mid	mono	A0_random_floor	2.28	13.85	13.85	0.0000	0.0370
BavAdfSa	mid	mono	A0_random_floor	1.39	9.81	9.81	0.0000	0.0000
sOKya	mid	mono	A0_random_floor	16.54	8.20	16.54	0.0278	0.0000
avastu	mid	mono	A0_random_floor	0.00	0.00	0.00	0.0000	0.0000
atyarTa	mid	mono	A0_random_floor	2.26	2.07	2.26	0.0000	0.0000
antapAla	mid	mono	A0_random_floor	8.17	13.66	13.66	0.0571	0.0000
Alap	mid	mono	A0_random_floor	15.23	4.68	15.23	0.2500	0.0000
udgam	mid	mono	A0_random_floor	7.58	8.44	8.44	0.1356	0.0714
paryAp	mid	mono	A0_random_floor	12.11	10.01	12.11	0.0741	0.0000
udas	mid	mono	A0_random_floor	9.60	5.14	9.60	0.1429	0.0000
paryupAs	mid	mono	A0_random_floor	26.16	17.39	26.16	0.1644	0.0278
SrIKaRqa	mid	mono	A0_random_floor	12.34	9.50	12.34	0.0889	0.0000
anvi	mid	mono	A0_random_floor	16.43	15.30	16.43	0.0000	0.0000
SfgAla	mid	mono	A0_random_floor	8.23	9.74	9.74	0.0317	0.0000
yaTAvasTam	mid	mono	A0_random_floor	10.72	11.20	11.20	0.0444	0.0000
apasiD	mid	mono	A0_random_floor	12.06	12.35	12.35	0.0909	0.0000
nizic	mid	mono	A0_random_floor	18.57	12.82	18.57	0.1074	0.0000
SaMsin	mid	mono	A0_random_floor	3.86	3.79	3.86	0.0000	0.0000
anuSAsana	mid	mono	A0_random_floor	10.70	13.71	13.71	0.0154	0.0000
upaDAv	mid	mono	A0_random_floor	19.26	9.55	19.26	0.0444	0.0000
upayam	mid	mono	A0_random_floor	22.58	8.09	22.58	0.2712	0.0000
ezin	mid	mono	A0_random_floor	15.30	8.70	15.30	0.0426	0.0769
sAhitya	mid	poly2_4	A0_random_floor	8.94	9.55	9.55	0.0645	0.0000
bawu	mid	poly2_4	A0_random_floor	10.85	11.09	11.09	0.2154	0.0377
dAqima	mid	poly2_4	A0_random_floor	17.89	0.83	17.89	0.0417	0.0000
rAjarAja	mid	poly2_4	A0_random_floor	6.45	5.07	6.45	0.0000	0.0000
unnidra	mid	poly2_4	A0_random_floor	18.03	11.23	18.03	0.1091	0.0000
praBAta	mid	poly2_4	A0_random_floor	19.86	12.56	19.86	0.1224	0.0476
sodara	mid	poly2_4	A0_random_floor	0.00	0.00	0.00	0.0000	0.0000
buBukzu	mid	poly2_4	A0_random_floor	13.68	10.48	13.68	0.1429	0.0323
akzaka	mid	poly2_4	A0_random_floor	8.79	3.60	8.79	0.0345	0.0000
kElAsa	mid	poly2_4	A0_random_floor	9.34	5.87	9.34	0.1481	0.0000
paratantra	mid	poly2_4	A0_random_floor	9.45	7.78	9.45	0.0667	0.0714
nirmama	mid	poly2_4	A0_random_floor	19.96	12.15	19.96	0.1299	0.0615
cAturmAsya	mid	poly2_4	A0_random_floor	15.62	10.24	15.62	0.1224	0.0364
hAhA	mid	poly2_4	A0_random_floor	16.06	3.43	16.06	0.0909	0.0000
AKaRqala	mid	poly2_4	A0_random_floor	21.10	11.58	21.10	0.2069	0.0000
saMsidDi	mid	poly2_4	A0_random_floor	22.72	17.30	22.72	0.1505	0.0000
dukUla	mid	poly2_4	A0_random_floor	14.87	13.15	14.87	0.2273	0.0000
viruta	mid	poly2_4	A0_random_floor	17.19	12.48	17.19	0.1389	0.0143
zaRQa	mid	poly2_4	A0_random_floor	12.46	8.51	12.46	0.0455	0.0000
aByaNga	mid	poly2_4	A0_random_floor	11.87	8.72	11.87	0.0500	0.0000
Arogya	mid	poly2_4	A0_random_floor	9.41	9.37	9.41	0.0000	0.0000
kataka	mid	poly2_4	A0_random_floor	18.08	16.18	18.08	0.1019	0.0000
rajaka	mid	poly2_4	A0_random_floor	9.41	3.84	9.41	0.0938	0.0000
apanayana	mid	poly2_4	A0_random_floor	16.17	9.87	16.17	0.0460	0.0000
pUrti	mid	poly2_4	A0_random_floor	13.62	10.38	13.62	0.0198	0.0000
viBU	mid	poly2_4	A0_random_floor	10.85	15.05	15.05	0.0927	0.0000
aSOca	mid	poly2_4	A0_random_floor	21.40	8.49	21.40	0.1250	0.0000
rAsaBa	mid	poly2_4	A0_random_floor	9.50	1.12	9.50	0.0288	0.0000
pUzan	mid	poly2_4	A0_random_floor	1.29	1.04	1.29	0.0000	0.0000
tura	mid	poly2_4	A0_random_floor	16.22	9.41	16.22	0.0725	0.0149
kApuruza	mid	poly2_4	A0_random_floor	18.78	9.35	18.78	0.0556	0.0000
rasanA	mid	poly2_4	A0_random_floor	2.79	1.67	2.79	0.1250	0.0000
avalambin	mid	poly2_4	A0_random_floor	20.37	10.26	20.37	0.1224	0.0476
rikTa	mid	poly2_4	A0_random_floor	15.16	11.37	15.16	0.0909	0.0000
paryaNka	mid	poly2_4	A0_random_floor	22.36	16.27	22.36	0.1384	0.0000
niravadya	mid	poly2_4	A0_random_floor	17.52	7.88	17.52	0.1165	0.0211
supta	mid	poly5p	A0_random_floor	9.63	10.03	10.03	0.1220	0.0328
draviqa	mid	poly5p	A0_random_floor	20.41	16.11	20.41	0.3333	0.0000
lOkika	mid	poly5p	A0_random_floor	7.36	6.76	7.36	0.1205	0.0000
virUpAkza	mid	poly5p	A0_random_floor	8.90	3.94	8.90	0.1010	0.0132
viSudDi	mid	poly5p	A0_random_floor	25.15	21.25	25.15	0.1391	0.0385
kuntala	mid	poly5p	A0_random_floor	21.25	14.35	21.25	0.2194	0.0139
parA	mid	poly5p	A0_random_floor	14.48	6.29	14.48	0.2195	0.0200
mfgendra	mid	poly5p	A0_random_floor	5.76	4.84	5.76	0.1000	0.0952
gOra	mid	poly5p	A0_random_floor	13.80	14.23	14.23	0.0640	0.0290
prasTAna	mid	poly5p	A0_random_floor	4.00	4.82	4.82	0.0938	0.0000
pallI	mid	poly5p	A0_random_floor	16.94	8.99	16.94	0.1356	0.0000
mecaka	mid	poly5p	A0_random_floor	6.08	6.08	6.08	0.0000	0.0000
reRu	mid	poly5p	A0_random_floor	21.80	14.50	21.80	0.2679	0.0235
paYjara	mid	poly5p	A0_random_floor	19.22	13.80	19.22	0.2222	0.0000
sImanta	mid	poly5p	A0_random_floor	1.41	0.66	1.41	0.0000	0.0000
mahApadma	mid	poly5p	A0_random_floor	19.03	16.53	19.03	0.2487	0.0377
sammati	mid	poly5p	A0_random_floor	8.64	9.18	9.18	0.0000	0.0000
asu	mid	poly5p	A0_random_floor	9.20	11.71	11.71	0.1091	0.0000
karkawaka	mid	poly5p	A0_random_floor	18.20	1.99	18.20	0.0238	0.0000
kfSAnu	mid	poly5p	A0_random_floor	4.04	3.72	4.04	0.0513	0.0000
kaMsa	mid	poly5p	A0_random_floor	3.47	2.51	3.47	0.0451	0.0000
itTA	mid	poly5p	A0_random_floor	9.18	14.09	14.09	0.1373	0.0000
Urmi	mid	poly5p	A0_random_floor	3.28	3.94	3.94	0.0294	0.0000
lopa	mid	poly5p	A0_random_floor	2.03	5.35	5.35	0.0480	0.0000
Sibira	mid	poly5p	A0_random_floor	8.62	4.56	8.62	0.1111	0.0000
mandira	mid	poly5p	A0_random_floor	9.37	11.09	11.09	0.0000	0.0000
BawwAraka	mid	poly5p	A0_random_floor	14.13	8.45	14.13	0.0597	0.0000
nakta	mid	poly5p	A0_random_floor	20.35	6.55	20.35	0.2308	0.0000
mUrKa	mid	poly5p	A0_random_floor	14.18	8.13	14.18	0.0588	0.0000
pippala	mid	poly5p	A0_random_floor	20.92	16.44	20.92	0.1481	0.0000
DAraka	mid	poly5p	A0_random_floor	17.74	7.39	17.74	0.1724	0.0392
Bawa	mid	poly5p	A0_random_floor	17.50	13.76	17.50	0.0635	0.0000
padmanABa	mid	poly5p	A0_random_floor	17.59	16.17	17.59	0.1489	0.0000
dyumat	mid	poly5p	A0_random_floor	19.36	11.96	19.36	0.2045	0.0312
mandAra	mid	poly5p	A0_random_floor	17.85	12.82	17.85	0.1565	0.0315
kukkura	mid	poly5p	A0_random_floor	13.66	5.26	13.66	0.3111	0.0000
vasati	mid	poly5p	A0_random_floor	4.90	3.48	4.90	0.1562	0.0299
jImUta	mid	poly5p	A0_random_floor	17.58	14.44	17.58	0.0899	0.0000
vizARa	mid	poly5p	A0_random_floor	10.48	15.98	15.98	0.1026	0.0000
vEkfta	mid	poly5p	A0_random_floor	8.43	10.06	10.06	0.0811	0.0364
malayaja	mid	poly5p	A0_random_floor	18.05	14.41	18.05	0.2581	0.0556
Danika	mid	poly5p	A0_random_floor	17.78	9.66	17.78	0.1463	0.0377
aBijana	mid	poly5p	A0_random_floor	10.50	9.56	10.50	0.1875	0.0667
tiras	mid	poly5p	A0_random_floor	18.57	15.96	18.57	0.1220	0.0000
BIru	mid	poly5p	A0_random_floor	11.44	10.89	11.44	0.2895	0.0377
hala	mid	poly5p	A0_random_floor	2.39	4.87	4.87	0.0476	0.0000
iriRa	mid	poly5p	A0_random_floor	20.61	13.58	20.61	0.0800	0.0000
gozWa	mid	poly5p	A0_random_floor	17.40	16.50	17.40	0.2174	0.0000
