lemma_slp1	dict	sense_id	failure_class	n_ls	gloss
sTA	mw	mw:255316:19	no-shared-witness	1	Pass. ( aor. ), to be stood &amp;c. (frequently used impers. , e.g. , ‘let it be abided by me’ i.e. ‘I must abide’), &amp;c. &amp;c
sTA	mw	mw:255316:21	witness-too-common	1	Pass. ), to cause to stand, place, locate, set, lay, fix, station, establish, found, institute, &amp;c. &amp;c
sTA	mw	mw:255316:24	witness-too-common	2	to prop up, support, maintain
sTA	mw	mw:255316:25	witness-too-common	2	to affirm, assent, ; , Sch
sTA	mw	mw:255316:26	witness-too-common	2	to appoint (to any office loc. ), ; &amp;c
sTA	mw	mw:255316:27	witness-too-common	3	to cause to be, constitute, make, appoint or employ as (two acc. ; with , ‘to employ any one as a nurse’; with , ‘to appoint any one as guardian’; with , ‘to make anything ready’ ; with , ‘to keep anything well guarded’; with , ‘to make anything one's own’; w…
sTA	mw	mw:255316:28	witness-too-common	2	to fix, settle, determine, resolve, ; &amp;c
sTA	mw	mw:255316:29	witness-too-common	1	to fix in or on, lead or bring into, direct or turn towards ( loc. , rarely acc. ; with , ‘to impress on the heart’; with , ‘to fix the mind on’), &amp;c. &amp;c
sTA	mw	mw:255316:31	witness-too-common	3	to make over or deliver up to ( loc. or with gen. , ‘into the hands of’)
sTA	mw	mw:255316:33	no-shared-witness	1	to cause to stand still, stop, arrest, check, hold, keep in, restrain (with , ‘to keep bound or imprisoned’), &amp;c. &amp;c
sTA	mw	mw:255316:34	witness-too-common	2	to place aside, keep, save, preserve
sTA	mw	mw:255316:35	outranked	0	Desid. of Caus. (see )
sTA	mw	mw:255316:37	no-shared-witness	0	Intens
sTA	mw	mw:255316.1:1	no-shared-witness	0	[ cf. Gk. ἱ-στάναι ; Lat. stare ; Lith. stóti ; Slav. stati ; Germ. stân , stehen ; Eng. stand .]
sTA	mw	mw:255336:1	witness-too-common	3	2. (or ), mfn. ( nom. m. n. ) standing, stationary (often ifc. = ‘standing, being, existing in or on or among’, cf. , &amp;c.)
sTA	pwg	pwg:113928:2	witness-too-common	19	stehen, stillstehen, stehen bleiben, dastehen; im Stall stehend; vor Einem stehend; stehen bleiben, Halt machen; sich auf die Knie stellend; stehen auf, in an; stillstehen; stellten sich so, dass er sie sehen konnte; vor Jmdes Augen treten
sTA	pwg	pwg:113928:3	witness-too-common	2	stehen —, sich stellen auf, besteigen; sich begeben nach
sTA	pwg	pwg:113928:5	no-shared-witness	1	treu ausharren, — zur Seite stehen
sTA	pwg	pwg:113928:6	no-shared-witness	1	bei Etwas; verharren, nicht abgehen von
sTA	pwg	pwg:113928:7	witness-too-common	7	sich zu Jmd; halten, sich für Jmd erklären; einen zweiten erkennt man nicht an
sTA	pwg	pwg:113928:8	witness-too-common	13	bestehen; vergehen, zu Grunde gehen; ist am Leben
sTA	pwg	pwg:113928:9	witness-too-common	23	bleiben, verweilen; verweilen; warten; zögern, sich bedenken; nach einem Monat; nach einiger Zeit
sTA	pwg	pwg:113928:10	cross-language-gap	0	bei Etwas bleiben, einer Handlung dauernd obliegen, in einem Zustande; Verhältniss verharren
sTA	pwg	pwg:113928:11	witness-too-common	25	widersprachen fortwährend; liegt todt da
sTA	pwg	pwg:113928:12	witness-too-common	10	ein absol. : . . . . . . . . . . . . . . . . . . . med. . pass. impers
sTA	pwg	pwg:113928:13	witness-too-common	4	ein instr
sTA	pwg	pwg:113928:14	witness-too-common	6	sich anders verhalten; verlegen dastehen; sich wohl —, glücklich fühlen
sTA	pwg	pwg:113928:15	witness-too-common	10	dasein, vorhanden sein, sich vorfinden
sTA	pwg	pwg:113928:16	witness-too-common	13	sich befinden, sein; regieren; obliegen; gehorchen, folgen
sTA	pwg	pwg:113928:17	witness-too-common	7	sich bei Jmd befinden, bei Jmd angetroffen werden, zu Jmdes Verfügung stehen, Jmd gehören, esse alicui
sTA	pwg	pwg:113928:18	witness-too-common	2	geheftet —, gerichtet sein auf
sTA	pwg	pwg:113928:19	witness-too-common	7	ruhen —, beruhen auf, gegründet —, beschlossen sein in; sich auf mich verlassend
sTA	pwg	pwg:113928:20	witness-too-common	10	Jmd still halten zu Etwas, sich fügen in, dienen zu
sTA	pwg	pwg:113928:21	witness-too-common	2	erstehen aus
sTA	pwg	pwg:113928:22	witness-too-common	2	abstehen von Etwas, sich eines Bessern besinnen
sTA	pwg	pwg:113928:23	witness-too-common	9	dahingestellt —, unberücksichtigt —, unerörtert bleiben, nicht von Belang sein; darauf kommt es zunächst nicht an, davon will ich vorläufig absehen
sTA	pwg	pwg:113928:24	no-shared-witness	1	19〉 partic. , Schol
sTA	pwg	pwg:113928:25	witness-too-common	5	stehend; was steht, — sich nicht bewegt
sTA	pwg	pwg:113928:26	witness-too-common	2	sich befindend in; im Besitz seiend
sTA	pwg	pwg:113928:27	witness-too-common	3	beschäftigt mit; obliegend; dem Vater gehorchend, — folgend; verharrend in
sTA	pwg	pwg:113928:28	witness-too-common	1	der inne gehalten hat; schwieg er
sTA	pwg	pwg:113928:29	witness-too-common	2	ausharrend, beharrlich
sTA	pwg	pwg:113928:30	witness-too-common	1	bereit zu
sTA	pwg	pwg:113928:31	no-shared-witness	2	caus
sTA	pwg	pwg:113928:32	no-shared-witness	4	stillstehen machen, anhalten; hemmen, unterdrücken
sTA	pwg	pwg:113928:33	witness-too-common	3	Jmd festhalten, nicht fortlassen; ich habe ihn ganz für mich gewonnen; Jmd gefangen halten
sTA	pwg	pwg:113928:34	witness-too-common	4	wegstellen, bei Seite stellen; bei Seite gelegt, zurückgelegt, aufbewahrt; mit Ausnahme von
sTA	pwg	pwg:113928:35	witness-too-common	22	stellen, hinstellen, setzen —, legen —, thun auf, in; dem Herzen einprägen; einquartirt; hinstellen, aufstellen
sTA	pwg	pwg:113928:36	witness-too-common	7	Jmd einsetzen; als Hüter
sTA	pwg	pwg:113928:37	witness-too-common	12	Jmd versetzen —, führen —, bringen in, auf; auf den rechten Weg; einweihen in einen Plan; man richte den Geist darauf; man vergegenwärtige sich dieses
sTA	pwg	pwg:113928:38	witness-too-common	5	übergeben; einem Unbetheiligten; vom Gatten
sTA	pwg	pwg:113928:39	witness-too-common	4	errichten, erbauen
sTA	pwg	pwg:113928:40	witness-too-common	8	Bestand geben, befestigen, dauerhaft machen, begründen; Jmd befestigen; unterstützen; befestigen
sTA	pwg	pwg:113928:41	witness-too-common	15	feststellen, festsetzen, bestimmen; eine Bestimmung in Betreff Jmdes; treffen; einführen
sTA	pwg	pwg:113928:42	witness-too-common	2	eine Behauptung —, Thesis aufstellen; setzen; negiren
sTA	pwg	pwg:113928:43	witness-too-common	9	machen zu; gut verwahren, — hüten; verstecken; Jmd bereit sein heissen; nicht einmal den Namen wird er übrig lassen
sTA	pwg	pwg:113928:44	cross-language-gap	0	Vgl. u. s. w
sTA	pwg	pwg:113928:45	no-shared-witness	3	verharren wollen
sTA	pwg	pwg:113928:46	no-shared-witness	2	intens
sTA	pwg	pwg:113928:47	witness-too-common	4	überstehen; sich erheben über; Meister sein
sTA	pwg	pwg:113928:48	witness-too-common	2	scheinbar , wo mit der st. zu lesen ist
sTA	pwg	pwg:113928:49	no-shared-witness	1	Uebergang von in nebst Vārtt. mit acc
sTA	pwg	pwg:113928:50	witness-too-common	14	stehen —, sich stellen —, sich setzen auf, besteigen; auf mir sitzend; stand er auf der ganzen Erde, hatte er d. g. E. unter sich; stehen
sTA	pwg	pwg:113928:51	witness-too-common	8	seinen Aufenthalt haben in, bewohnen, sich befinden —, stecken in
sTA	pwg	pwg:113928:52	witness-too-common	11	sich; erheben, bemeistern, höher stehen als, den Vorrang haben über; als Führer vorangehen, anführen; lenken, regieren
sTA	pwg	pwg:113928:53	witness-too-common	8	vorstehen, beherrschen, verwalten; besitzen; in den Besitz gelangen von
sTA	pwg	pwg:113928:54	witness-too-common	2	sich gründen auf
sTA	pwg	pwg:113928:55	witness-too-common	5	Gebrauch machen von, anwenden; an den Tag legen; mit Anwendung von, mittels
sTA	pwg	pwg:113928:56	no-shared-witness	1	weihen (bénir)
sTA	pwg	pwg:113928:57	cross-language-gap	0	partic. und
sTA	pwg	pwg:113928:58	cross-language-gap	0	in act. Bed
sTA	pwg	pwg:113928:59	witness-too-common	6	stehend; steckend, stecken geblieben; stehend; sich befindend; ihren Sitz habend; wonnend, seinen Sitz habend in, auf
sTA	pwg	pwg:113928:60	witness-too-common	6	über Andern stehend, obenan stehend, den Vorrang habend; vorstehend; vorgesetzt
sTA	pwg	pwg:113928:61	witness-too-common	2	beruhend auf
sTA	pwg	pwg:113928:62	witness-too-common	2	verharrend; erblickend dastehend; betrachtend; mit erhobenem Discus dastehend
sTA	pwg	pwg:113928:63	cross-language-gap	0	mit pass. Bed
sTA	pwg	pwg:113928:64	witness-too-common	12	bewohnt, besetzt von; besetzt; vertheidigt; in dem — stecken
sTA	pwg	pwg:113928:65	witness-too-common	4	in Besitz genommen, erfüllt von; in voller Gunst beim Fürsten stehend
sTA	pwg	pwg:113928:66	witness-too-common	8	verwaltet, versehen; dem — vorstehen
sTA	pwg	pwg:113928:67	witness-too-common	12	geleitet, geführt, angeführt
sTA	pwg	pwg:113928:68	no-shared-witness	2	stellen auf, Etwas; betreten lassen
sTA	pwg	pwg:113928:69	no-shared-witness	1	leiten, lenken; leitet ab von
sTA	pwg	pwg:113928:70	witness-too-common	1	verwalten, versehen
sTA	pwg	pwg:113928:71	witness-too-common	1	stehend auf, in
sTA	pwg	pwg:113928:72	no-shared-witness	1	obenan stehend
sTA	pwg	pwg:113928:73	witness-too-common	1	geritten
sTA	pwg	pwg:113928:74	no-shared-witness	4	nach Jmd stehen bleiben; wenn Jmd stehen bleibt; gleichfalls stehen bleiben
sTA	pwg	pwg:113928:75	witness-too-common	1	Jmd; nachgehen, folgen
sTA	pwg	pwg:113928:76	witness-too-common	2	folgen; gehorchen
sTA	pwg	pwg:113928:77	no-shared-witness	1	befolgen, sich richten nach, nachahmen
sTA	pwg	pwg:113928:78	witness-too-common	4	sich stellen zu, sich anschliessen, sich beigesellen, im Gefolge sein; hilfreich zur Seite stehen; bleibe; auf die Seite unseres Opfers; sich halten an, streben nach
sTA	pwg	pwg:113928:79	witness-too-common	17	einer Sache nachgehen, — sich hingeben, — obliegen, Etwas betreiben, [Page7-1294] ausrichten, ausführen; eröffnen; Strafe verhängen; sich entleeren; sinnen auf
sTA	pwg	pwg:113928:80	no-shared-witness	3	verbleiben
sTA	pwg	pwg:113928:81	witness-too-common	1	sich setzen auf
sTA	pwg	pwg:113928:82	witness-too-common	1	beherrschen, regieren
sTA	pwg	pwg:113928:83	no-shared-witness	1	10〉 wohl fehlerhaft für
sTA	pwg	pwg:113928:84	cross-language-gap	0	11〉 partic
sTA	pwg	pwg:113928:85	cross-language-gap	0	mit act. Bed
sTA	pwg	pwg:113928:86	no-shared-witness	1	befolgend, sich richtend nach, nachahmend
sTA	pwg	pwg:113928:87	witness-too-common	2	obliegend
sTA	pwg	pwg:113928:88	cross-language-gap	0	mit pass. Bed
sTA	pwg	pwg:113928:89	witness-too-common	1	begleitet, unterstützt
sTA	pwg	pwg:113928:90	witness-too-common	15	dem man obgelegen hat, betrieben, geübt, ausgerichtet, ausgeführt
sTA	pwg	pwg:113928:91	witness-too-common	1	begonnen, angefangen
sTA	pwg	pwg:113928:92	no-shared-witness	1	obzuliegen wünschen
sTA	pwg	pwg:113928:93	no-shared-witness	1	verbunden —, ausgerüstet mit
sTA	pwg	pwg:113928:94	cross-language-gap	0	Vgl
sTA	pwg	pwg:113928:95	witness-too-common	1	Jmd; den Weg vertreten, aufhalten
sTA	pwg	pwg:113928:96	witness-too-common	1	sich fern halten, abtrünnig werden
sTA	pwg	pwg:113928:97	cross-language-gap	0	Vgl. fgg. und
sTA	pwg	pwg:113928:98	witness-too-common	2	Jmd; in den Weg treten
sTA	pwg	pwg:113928:99	no-shared-witness	1	Schol. zu
sTA	pwg	pwg:113928:100	witness-too-common	5	treten [Page7-1295] —, den Fuss setzen auf; unter die Füsse getreten; worauf man getreten ist, — steht
sTA	pwg	pwg:113928:101	witness-too-common	1	sich erheben über, — auf
sTA	pwg	pwg:113928:102	no-shared-witness	2	treten gegen, zu Etwas hin
sTA	pwg	pwg:113928:103	witness-too-common	1	stehen bleiben
sTA	pwg	pwg:113928:104	witness-too-common	1	sich aufhalten, sich befinden
sTA	pwg	pwg:113928:105	witness-too-common	3	widerstehen, bemeistern
sTA	pwg	pwg:113928:106	witness-too-common	2	besteigen
sTA	pwg	pwg:113928:107	no-shared-witness	2	med
sTA	pwg	pwg:113928:108	witness-too-common	1	sich fern halten, — entfernen; getrennt sein von, entbehren
sTA	pwg	pwg:113928:109	witness-too-common	2	sich hinab —, hinein begeben; hinabsteigen
sTA	pwg	pwg:113928:110	witness-too-common	20	dastehen, sich hinstellen; stillstehen, Halt machen
sTA	pwg	pwg:113928:111	witness-too-common	11	bleiben, verbleiben; verharren
sTA	pwg	pwg:113928:112	witness-too-common	5	ein adj. : . ( act. )
sTA	pwg	pwg:113928:113	witness-too-common	4	ein absol. : . (so )
sTA	pwg	pwg:113928:114	witness-too-common	8	ein instr. : . . _bei_ . . . ( impers. ). . Comm. zu
sTA	pwg	pwg:113928:115	no-shared-witness	2	bestehen
sTA	pwg	pwg:113928:116	witness-too-common	7	sich befinden, — aufhalten, dasein, anwesend sein
sTA	pwg	pwg:113928:117	witness-too-common	1	anheimfallen
sTA	pwg	pwg:113928:118	no-shared-witness	1	eingehen in
sTA	pwg	pwg:113928:119	witness-too-common	2	gelangen zu; zurückkehren zu
sTA	pwg	pwg:113928:120	no-shared-witness	1	festsetzen, beschliessen
sTA	pwg	pwg:113928:121	cross-language-gap	0	11〉 partic
sTA	pwg	pwg:113928:122	witness-too-common	19	dastehend, seinen Stand habend, postirt, befindlich; lange Zeit gelegen habend; enthalten in; nicht daseiend; nicht bleiben könnend; das Zusammensein
sTA	pwg	pwg:113928:123	cross-language-gap	0	verbleibend —, verharrend
sTA	pwg	pwg:113928:124	witness-too-common	2	α〉 ein partic
sTA	pwg	pwg:113928:125	witness-too-common	5	erscheinend als
sTA	pwg	pwg:113928:126	witness-too-common	2	verbleibend in; befolgend
sTA	pwg	pwg:113928:127	witness-too-common	5	begriffen in, obliegend, bedacht auf
sTA	pwg	pwg:113928:128	no-shared-witness	1	Jmd; obliegend
sTA	pwg	pwg:113928:129	witness-too-common	1	bereit zu
sTA	pwg	pwg:113928:130	witness-too-common	11	feststehend, beständig, keinem Wandel unterworfen; in Bezug auf; fest beschlossen; unbeständig; standhaft, zuverlässig; eine feste Stellung einnehmend; wankelmüthig, untreu
sTA	pwg	pwg:113928:131	witness-too-common	1	gelungen; misslungen
sTA	pwg	pwg:113928:132	witness-too-common	1	beschaffen, sich verhaltend; unter diesen Verhältnissen
sTA	pwg	pwg:113928:133	cross-language-gap	0	mit acc
sTA	pwg	pwg:113928:134	witness-too-common	2	stehend bei; zur linken Seite
sTA	pwg	pwg:113928:135	witness-too-common	2	hingegeben, sich hingebend
sTA	pwg	pwg:113928:136	cross-language-gap	0	Vgl. fgg. — caus
sTA	pwg	pwg:113928:137	no-shared-witness	1	auseinanderhalten, trennen
sTA	pwg	pwg:113928:138	witness-too-common	7	stehen machen, anhalten; stehen —, nicht weitergehen —, zurücklassen, nicht mit sich nehmen
sTA	pwg	pwg:113928:139	witness-too-common	11	hinstellen; hinlegen, thun in, auf; eingehen lassen in
sTA	pwg	pwg:113928:140	no-shared-witness	1	einsetzen, errichten
sTA	pwg	pwg:113928:141	witness-too-common	2	fest machen, Festigkeit verleihen; ermuntern, trösten
sTA	pwg	pwg:113928:142	witness-too-common	1	begründen
sTA	pwg	pwg:113928:143	cross-language-gap	0	Vgl. in den Nachträgen
sTA	pwg	pwg:113928:144	no-shared-witness	1	nach Jmd herabsteigen
sTA	pwg	pwg:113928:145	no-shared-witness	1	widerstehend
sTA	pwg	pwg:113928:146	no-shared-witness	1	sich befestigen, — kräftigen
sTA	pwg	pwg:113928:147	witness-too-common	1	erfüllen, durchdringen
sTA	pwg	pwg:113928:148	witness-too-common	2	stehend, postirt; enthalten in
sTA	pwg	pwg:113928:149	witness-too-common	3	begriffen in, obliegend, hingegeben
sTA	pwg	pwg:113928:150	witness-too-common	3	wohlgemuth, guter Dinge
sTA	pwg	pwg:113928:151	witness-too-common	2	ermuntern
sTA	pwg	pwg:113928:152	no-shared-witness	1	wiederkehren, sich wieder einstellen
sTA	pwg	pwg:113928:153	witness-too-common	3	dagegen aufstehen, einwenden, eine Einwendung erheben
sTA	pwg	pwg:113928:154	witness-too-common	2	wiedererlangen; in einem best. Zustande; sich befindend
sTA	pwg	pwg:113928:155	no-shared-witness	1	in die ursprüngliche Lage bringen; kommt wieder zu sich
sTA	pwg	pwg:113928:156	no-shared-witness	1	sich trennen, — abtheilen
sTA	pwg	pwg:113928:157	witness-too-common	3	stehen bleiben, Halt machen; bleiben, verweilen
sTA	pwg	pwg:113928:158	witness-too-common	1	sich rüsten zu
sTA	pwg	pwg:113928:159	witness-too-common	2	Stand halten; logisch haltbar sein, sich bewähren
sTA	pwg	pwg:113928:160	no-shared-witness	2	dastehen —, erscheinen als
sTA	pwg	pwg:113928:161	no-shared-witness	1	geordnet stehend
sTA	pwg	pwg:113928:162	witness-too-common	15	stehend; eine Stelle einnehmend, postirt, stehend; befindlich auf, bei; stellte sich; auf Seiten des Fürsten stehend; befindlich in; gelegen; enthalten in; in der Bedeutung von; stehend, — gebraucht werdend
sTA	pwg	pwg:113928:163	witness-too-common	1	gewartet —, verweilt habend
sTA	pwg	pwg:113928:164	no-shared-witness	4	beruhend auf; abhängig von
sTA	pwg	pwg:113928:165	witness-too-common	2	entschlossen zu
sTA	pwg	pwg:113928:166	witness-too-common	6	beharrend in, haltend an; sich nur um die Waffen kümmernd; gebunden in Bezug auf Ort und Zeit
sTA	pwg	pwg:113928:167	witness-too-common	19	feststehend, festgesetzt; sicher bevorstehend; beständig, nicht wechselnd; unbeständig; genau bestimmt, limitirt; ausschliesslich eigen; genau bestimmt für jeden einzelnen Fall
sTA	pwg	pwg:113928:168	witness-too-common	5	daseiend, vorhanden, sich vorfindend
sTA	pwg	pwg:113928:169	cross-language-gap	0	dastehend —, erscheinend als
sTA	pwg	pwg:113928:170	witness-too-common	8	α〉 ein nom
sTA	pwg	pwg:113928:171	witness-too-common	1	β〉 ein absol
sTA	pwg	pwg:113928:172	witness-too-common	5	γ〉 ein instr. : _zu_ . 293. die im [Page7-1299] instr. zu denkende Ergänzung im comp. vorangehend
sTA	pwg	pwg:113928:173	no-shared-witness	5	δ〉 ein adv
sTA	pwg	pwg:113928:174	cross-language-gap	0	Vgl. fgg. , . — caus
sTA	pwg	pwg:113928:175	no-shared-witness	2	hinstellen; richten auf
sTA	pwg	pwg:113928:176	no-shared-witness	1	einsetzen
sTA	pwg	pwg:113928:177	witness-too-common	2	zum Stehen bringen; aufhalten; nicht zu Fall kommen lassen
sTA	pwg	pwg:113928:178	no-shared-witness	2	herstellen, in den natürlichen Zustand wieder versetzen
sTA	pwg	pwg:113928:179	no-shared-witness	6	feststellen, bestimmen; als logisch haltbar darthun
sTA	pwg	pwg:113928:180	cross-language-gap	0	Vgl. fgg
sTA	pwg	pwg:113928:181	witness-too-common	5	stehend; sich nicht rührend, unbeweglich
sTA	pwg	pwg:113928:182	witness-too-common	4	stehend; seine Stelle habend; vor Jmd stehend
sTA	pwg	pwg:113928:183	witness-too-common	2	gerüstet —, bereit zu
sTA	pwg	pwg:113928:184	cross-language-gap	0	Vgl. fg. — caus
sTA	pwg	pwg:113928:185	witness-too-common	1	zum Stehen bringen, anhalten
sTA	pwg	pwg:113928:186	witness-too-common	1	befestigen
sTA	pwg	pwg:113928:187	witness-too-common	13	stehen auf, besteigen; sich einstellen bei, sich befinden; Stadt; sich begeben zu, nach, betreten; sich festsetzend in
sTA	pwg	pwg:113928:188	witness-too-common	2	befolgen, sich richten nach
sTA	pwg	pwg:113928:189	no-shared-witness	1	gelangen zu, theilhaftig werden
sTA	pwg	pwg:113928:190	witness-too-common	12	antreten, sich anschicken zu, sich machen an, greifen zu, einschlagen; sich hingeben; anwenden; mittels rascher Pferde; zu Pferde sitzend; beobachten; einen Marsch unternehmen; Mittel; in welchem Gedanken? in welcher Voraussetzung?
sTA	pwg	pwg:113928:191	no-shared-witness	3	beitreten; anerkennen, für wahr halten
sTA	pwg	pwg:113928:192	witness-too-common	2	halten zu Jmd; halten —, einen Werth legen auf Etwas
sTA	pwg	pwg:113928:193	witness-too-common	1	stehen
sTA	pwg	pwg:113928:194	cross-language-gap	0	partic
sTA	pwg	pwg:113928:195	cross-language-gap	0	in act. Bed
sTA	pwg	pwg:113928:196	witness-too-common	7	stehend —, sitzend auf; sich aufhaltend, — befindend an, in; betreten habend; eingegangen in; heimgesucht habend
sTA	pwg	pwg:113928:197	witness-too-common	3	gelangt zu; gerathen in
sTA	pwg	pwg:113928:198	witness-too-common	10	der Etwas angetreten —, zu Etwas gegriffen —, an Etwas sich gemacht —, zu Etwas sich angeschickt hat
sTA	pwg	pwg:113928:199	witness-too-common	3	was; zugestossen ist; Schaden; was wund und krank ist; bevorstehend
sTA	pwg	pwg:113928:200	no-shared-witness	2	dastehend; sich befindend, lebend
sTA	pwg	pwg:113928:201	no-shared-witness	1	anerkennend, als wahr annehmend
sTA	pwg	pwg:113928:202	no-shared-witness	1	mit pass. Bed. ; =
sTA	pwg	pwg:113928:203	witness-too-common	4	worauf man steht; sitzt, eingenommen; betreten
sTA	pwg	pwg:113928:204	witness-too-common	2	angetreten, wozu man gegriffen —, woran man sich gemacht hat
sTA	pwg	pwg:113928:205	no-shared-witness	1	geleitet auf
sTA	pwg	pwg:113928:206	cross-language-gap	0	Vgl. fgg. , . — caus. act. med
sTA	pwg	pwg:113928:207	no-shared-witness	1	betreten —, besteigen lassen
sTA	pwg	pwg:113928:208	witness-too-common	2	bleiben machen, festhalten
sTA	pwg	pwg:113928:209	witness-too-common	1	herbeischaffen
sTA	pwg	pwg:113928:210	witness-too-common	3	infigere; thun in
sTA	pwg	pwg:113928:211	no-shared-witness	1	Jmd einsetzen, beauftragen mit
sTA	pwg	pwg:113928:212	witness-too-common	1	Jmd; Etwas anthun; thue dir nicht Schaden an
sTA	pwg	pwg:113928:213	witness-too-common	1	stopfen; stärken
sTA	pwg	pwg:113928:214	no-shared-witness	1	einleiten, einführen
sTA	pwg	pwg:113928:215	no-shared-witness	2	neben einander gestellt, zusammengerückt; eines
sTA	pwg	pwg:113928:216	cross-language-gap	0	Vgl
sTA	pwg	pwg:113928:217	no-shared-witness	4	nach einander; betreten, besteigen, erreichen
sTA	pwg	pwg:113928:218	no-shared-witness	2	sich entfernen nach
sTA	pwg	pwg:113928:219	witness-too-common	3	wieder erstehen; ein gefallener Bettelmönch
sTA	pwg	pwg:113928:220	no-shared-witness	1	sich begeben in
sTA	pwg	pwg:113928:221	witness-too-common	1	geschlechtlichen Umgang pflegen mit
sTA	pwg	pwg:113928:222	witness-too-common	1	an Etwas gehen, obliegen
